Feature,Importance
num__device_trust_score,0.16712223202093227
num__transaction_hour,0.11962661529345753
num__velocity_last_24h,0.10969671064118784
num__foreign_transaction,0.08875483560159293
num__log_amount,0.07904629291069652
num__amount,0.07870761157309415
num__location_mismatch,0.07421726303813433
num__cardholder_age,0.04953226493914036
num__foreign_location_risk,0.04477755886243151
cat__transaction_period_Night,0.03216715179067758
num__low_device_trust,0.022409491833937336
num__high_velocity,0.013917972845949743
cat__merchant_category_Grocery,0.012015941588806266
cat__age_group_Adult,0.009880366593822345
cat__merchant_category_Food,0.00959605451569126
cat__merchant_category_Travel,0.009315585358753698
cat__age_group_Middle Age,0.008942770505678436
cat__merchant_category_Electronics,0.00893269131671611
cat__age_group_Young,0.007780277187709903
cat__amount_category_Medium,0.00774630175648413
cat__amount_category_Low,0.006593503040306359
cat__merchant_category_Clothing,0.006490417376727591
cat__age_group_Senior,0.00601576962262715
cat__transaction_period_Afternoon,0.005261823636722773
cat__transaction_period_Morning,0.004850942311230086
cat__transaction_period_Evening,0.0046524011150616985
cat__amount_category_Very High,0.004590657745080685
cat__amount_category_High,0.004242379828625452
cat__age_group_nan,0.0030612560649397194
cat__amount_category_nan,5.4859083784315976e-05
